uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
a91349ee-6e7e-4ded-a7a6-2829ac4e8815,322693329,2025-10-23 17:40:02-06:00,2025-10-23,-107.1450805,37.3241533333,2467.0,,2.0,13.0,17.0,6.9,,1022.6,Tricholoma equestre,"Turkey Springs Ski Trail, Pagosa Springs, CO, US",1
751e3aea-8151-4635-a3ff-443ba31bae1e,312288944,2025-09-06 10:12:22-06:00,2025-09-06,-105.0502111111,39.1913444444,2760.0,,8.0,22.0,0.0,13.7,,1023.9,Tricholoma equestre,"Sedalia, CO 80135, USA",1
1030af7e-8cc9-4aa6-adaf-d91ad5ff8799,240489121,2024-09-07 12:17:01-06:00,2024-09-07,-105.1118907215,39.1898334719,2322.0,,8.4,26.9,0.0,11.8,,1018.6,Tricholoma equestre,"Colorado, US",1
6722c285-6964-4d74-8e79-1e37c4772bca,239896676,2024-09-04 13:34:40-06:00,2024-09-04,-105.1424809992,39.0440857672,2736.0,,14.0,25.9,,17.2,,1018.1,Tricholoma equestre,"Colorado, US",1
039cf35f-0af1-4782-b44a-a501bd752c9b,239564275,2024-09-02 20:06:06-06:00,2024-09-02,-105.7055644557,39.4383848174,3459.0,,,,,,,,Tricholoma equestre,"Colorado, US",1
b74f93c7-3bf2-42a9-98a7-619f5e89d0f4,235459317,2024-08-12 20:13:49-06:00,2024-08-12,-105.8002447189,35.8042811173,3282.0,,18.9,32.8,0.0,15.6,,1012.6,Tricholoma equestre,"Santa Fe National Forest, Tererro, NM, US",1
bcd34a3d-448c-4b68-b00c-242fbd1216cd,232746924,2024-07-23 12:30:00-06:00,2024-07-23,-105.8048835347,35.7952577552,3124.0,,13.3,31.1,0.8,14.9,,1017.5,Tricholoma equestre,"Sangre de Christo Mountains, NM, USA",1
ae13610c-8158-4323-bceb-0f2015f504f5,177291375,2023-08-05 12:25:11-06:00,2023-08-05,-105.531945,40.0844528333,3029.0,,15.0,28.0,0.2,6.6,,1022.8,Tricholoma equestre,"Ward, CO, US",1
9086792c-c5b0-48b6-a47d-773a4989def9,135830768,2022-08-26 14:44:00-06:00,2022-08-26,-105.3015371313,36.7185745506,3001.0,,6.5,20.4,11.2,6.2,,1029.1,Tricholoma equestre,"New Mexico, US",1
36a19b59-3964-4dd4-8290-817b73ed40a0,135625208,2022-09-06 11:07:33-06:00,2022-09-06,-105.1255167648,38.8564350334,3187.0,,17.5,31.7,0.0,12.4,,1019.8,Tricholoma equestre,"Divide, CO 80814, USA",1
73a1da6f-f9aa-4406-a2aa-e045e2c2263e,135616213,2022-09-17 11:55:43-06:00,2022-09-17,-105.53843531,40.03120899,2936.0,,12.0,26.0,1.7,7.1,,1015.2,Tricholoma equestre,"Nederland, CO 80466, USA",2
d5db5a82-c69f-455b-aefd-d8cdd328bb4f,133950840,2022-09-06 11:21:24-06:00,2022-09-06,-105.1281666667,38.8599416667,3195.0,,17.5,31.7,0.0,12.4,,1019.8,Tricholoma equestre,"Divide, CO 80814, USA",3
2d7faa07-d0ff-4991-8f66-6f2df7169a38,91160716,2021-08-14 09:49:41-06:00,2021-08-14,-105.7486509998,39.8798905174,2882.0,,6.0,28.3,0.0,7.2,,1033.2,Tricholoma equestre,"Arapaho & Roosevelt National Forests Pawnee National Grassland, Granby, CO, US",2
6f7cb16b-0273-45ca-9dd0-8e4f1f85251c,90614624,2021-08-08 09:51:56-06:00,2021-08-08,-105.7194471609,39.6089911994,3343.0,,7.0,18.0,0.0,16.5,,1035.7,Tricholoma equestre,"Clear Creek County, US-CO, US",2
d5c99ce0-8012-4f9a-b848-ef8841233829,60663989,2008-08-19,2008-08-19,-106.426,35.83395,2659.0,,12.0,24.0,,9.2,,,Tricholoma equestre,"Jemez Mountains, Los Alamos, New Mexico, USA",1
50af24da-f377-4207-8b26-51638e956b80,31013698,2019-08-17 13:13:19-06:00,2019-08-17,-107.9505909607,38.0063569718,3264.0,,12.0,23.0,,10.8,,,Tricholoma equestre,"Telluride, CO 81435, USA",3
faa2221f-7404-41b7-9123-d968b611415a,3973638,2016-08-27 10:27:07-06:00,2016-08-27,-105.4475983513,36.5977693722,2918.0,,0.6,19.6,,9.9,,,Tricholoma equestre,"Carson National Forest, Taos Ski Valley, NM, US",2
