uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
8c267cd7-78c9-4395-b86d-577eea56d267,393692367,2026-08-16 11:15:38-06:00,2026-08-16,-105.9221962094,39.678211443,3760.0,,4.0,11.0,1.8,7.2,,,Tricholoma focale,"Dillon, CO 80435, USA",1
d2769f69-ef2e-47a0-b78b-90a5aa4753e9,382536486,2025-07-27 13:54:59-06:00,2025-07-27,-105.6579966667,35.8410033333,2702.0,,13.9,33.9,0.0,9.8,,1013.4,Tricholoma focale,"San Miguel County, US-NM, US",1
44f4249e-803a-4f04-9568-5590eb125260,324005121,2025-08-09,2025-08-09,-105.5119999498,39.8431200845,2776.0,,1.4,12.0,0.2,16.5,,1018.8,Tricholoma focale,"Black Hawk, CO 80422, USA",2
43d340ce-f4b7-438f-98b1-fde22aaf7f85,305396645,2025-08-09 17:09:02-06:00,2025-08-09,-105.6115869341,39.9244315317,3022.0,,1.4,12.0,0.2,16.5,,1018.8,Tricholoma focale,"Rollins Pass Rd, Black Hawk, CO, US",2
4d31f444-0994-4361-a7ab-139378bca97a,301676119,2025-07-27 11:12:21-06:00,2025-07-27,-105.5155777051,40.1258416106,2705.0,,17.0,37.0,0.0,6.7,,1020.3,Tricholoma focale,"Colorado, US",1
617f8fa1-191a-42c8-a5d2-921a4ff717b7,297618366,2025-07-13 09:49:41-06:00,2025-07-13,-105.3487972222,39.3469861111,2290.0,,11.0,20.0,0.8,4.8,,1019.9,Tricholoma focale,"Pine, CO 80470, USA",1
91a2758d-a765-4252-815d-2ef1b6fd70ae,241027723,2024-09-05 10:51:00-06:00,2024-09-05,-105.7969055556,35.8021611111,3354.0,,12.8,27.8,0.5,18.3,,1019.7,Tricholoma focale,"Santa Fe County, NM, USA",2
31404363-f418-4eb0-b6a3-66f04dd89d6e,236662044,2024-08-18 18:24:46-06:00,2024-08-18,-106.2695712239,39.4318946054,3332.0,,7.2,23.3,,11.2,,1017.2,Tricholoma focale,"Colorado, US",1
37084223-3efd-4384-b3b3-f93d1201aec7,233786974,2024-07-30 17:16:57-06:00,2024-07-30,-106.3862575696,39.6427187709,2483.0,,12.0,22.0,0.5,18.3,,1037.6,Tricholoma focale,"White River National Forest, Vail, CO, US",1
899e55a0-5693-49c5-a19b-4c670c397d35,232818875,2024-07-30 18:16:23-06:00,2024-07-30,-106.38423,39.6428833333,2491.0,,12.0,22.0,0.5,18.3,,1037.6,Tricholoma focale,"White River National Forest, Vail, CO, US",1
