uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
6afefb51-1b54-40e1-a6d7-15f34dd3ca4a,394594578,2026-08-23 08:37:41-06:00,2026-08-23,-105.3987759777,39.516907065,2807.0,,,,,,,,Tricholoma murrillianum,"Colorado, US",1
55ca3c52-149c-49f7-9481-ca82aa587bf6,304647362,2025-08-07 23:07:54-06:00,2025-08-07,-105.9601762015,39.9538205323,3064.0,,6.6,28.7,0.0,12.0,,1031.2,Tricholoma murrillianum,"Colorado, US",1
8325561c-f50f-4c5c-9169-af1985c5e23b,301368109,2025-07-25 17:28:20-06:00,2025-07-25,-105.537822412,40.060984031,3128.0,,15.0,33.0,0.1,7.0,,1019.9,Tricholoma murrillianum,"Colorado, US",1
73d10d24-9151-42be-92e0-5952358a5a12,256467106,2023-08-27 22:03:00-06:00,2023-08-27,-105.6881092507,35.9705132475,3353.0,,,,,,,,Tricholoma murrillianum,"New Mexico, US",2
08b01b9f-93b5-4118-8374-b89c60fd79d2,243504329,2024-09-22 13:21:15-06:00,2024-09-22,-105.470295316,40.0137324726,2536.0,,8.0,17.0,16.0,4.5,,1023.0,Tricholoma murrillianum,"Colorado, US",3
cad4442a-35e8-45fb-b4a3-830e3cc7edf6,234712853,2024-08-07 14:53:00-06:00,2024-08-07,-105.7671739716,35.6541921839,2685.0,,17.2,34.4,0.0,16.8,,1012.0,Tricholoma murrillianum,"New Mexico, US",2
fa196034-b51e-412f-baaa-da375ad7319b,143134031,2022-09-07 12:12:10-06:00,2022-09-07,-105.7035722575,39.9267178148,3370.0,,5.8,17.7,0.3,4.3,,1024.9,Tricholoma murrillianum,"Colorado, US",1
0d7768f9-2f93-4974-aaa6-454a42aeda6c,135857045,2022-09-20 18:34:51-06:00,2022-09-20,-105.4436162108,40.1804014481,2516.0,,11.3,34.6,0.0,7.3,,1019.8,Tricholoma murrillianum,"Colorado, US",3
4ddb7cb9-a039-45c9-abfa-6fb5014f01e6,134639255,2022-09-11 11:05:40-06:00,2022-09-11,-105.7086446203,39.8737704778,3279.0,,-0.3,12.6,0.0,9.0,,1023.6,Tricholoma murrillianum,"Colorado, US",2
bcb68907-4eed-471e-b47f-28d78b783fc6,134513833,2022-09-10 18:46:59-06:00,2022-09-10,-105.5378802279,39.9488955409,2591.0,,0.3,10.8,0.5,9.4,,1020.4,Tricholoma murrillianum,"Colorado, US",2
b95554b7-f5b2-4966-ac88-9c682224a1d7,133403695,2022-09-02 15:33:54-06:00,2022-09-02,-105.614745271,40.6084313768,3093.0,,,,,,,,Tricholoma murrillianum,"Larimer County, US-CO, US",2
f5e6aa23-77cf-4e0b-af7a-dd787d5a3d40,99682817,2012-08-12 10:56:00-06:00,2012-08-12,-105.5062951969,39.9794416683,2536.0,,13.0,30.0,,5.5,,,Tricholoma murrillianum,"Colorado, US",2
3ecc5ff6-19b4-4554-9840-c1221ded461b,94224340,2021-08-11 12:57:13-06:00,2021-08-11,-105.4870630701,39.807318599,2650.0,,17.0,34.0,0.0,11.5,,1019.0,Tricholoma murrillianum,"Colorado, US",2
2fb741f9-5be7-408a-8dd8-31d40bb56f7e,91425190,2021-08-15 16:06:00-06:00,2021-08-15,-105.6769770909,39.9196626596,3354.0,,6.8,22.9,1.5,4.1,,1030.3,Tricholoma murrillianum,"Colorado, US",1
