uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
bc73982c-707e-495e-a65d-70688f8fd336,320785320,2025-10-13 14:48:41-06:00,2025-10-13,-105.60582,39.9538416667,2782.0,,-7.1,3.9,3.5,16.6,,1015.3,Tricholoma terreum,"Devils Thumb Trail, Nederland, CO, US",1,
b1d30152-0506-4d95-b5dc-925a823a1940,239332594,2024-09-01 15:05:26-06:00,2024-09-01,-105.1541995654,39.0814261919,2495.0,,9.5,27.0,,16.6,,1020.9,Tricholoma terreum,"Colorado, US",1,
baedc9c8-6221-4043-a9b7-29af59e63aa3,235645737,2024-08-11 12:17:14-06:00,2024-08-11,-105.8503747,40.4219176,2797.0,,5.5,20.8,5.1,8.4,,1030.3,Tricholoma terreum,"Estes Park, CO 80517, USA",1,
ab25ab24-cd2c-4ebd-b0b6-ae147e59ebf4,235477217,2024-08-02 11:32:52-06:00,2024-08-02,-105.1629222222,38.0120333333,3231.0,,20.2,36.1,0.0,13.0,,1018.1,Tricholoma terreum,"Gardner, CO 81040, USA",1,
71c08f36-ef61-49ac-9ae2-a33f2f10734d,166449862,2023-06-09 09:37:01-06:00,2023-06-09,-104.8671416667,38.7881555556,1937.0,,14.0,23.0,3.6,15.2,,1019.6,Tricholoma terreum,"Colorado Springs, CO 80906, USA",1,
0b454f8e-51ad-47fa-965f-6abec604d79a,91188039,2021-08-14 14:11:49-06:00,2021-08-14,-105.97523901,39.9333789,3023.0,,6.0,28.3,0.0,7.2,,1033.2,Tricholoma terreum,"Grand County, US-CO, US",2,
6790ceda-8a27-467c-8269-bb926b27380f,250185481,2024-11-02 12:54:27-07:00,2024-11-02,-121.9271444444,45.6511305556,100.0,,6.3,10.4,3.7,10.5,,1010.7,Tricholoma terreum,"North Bonneville, WA, USA",1,
8c2df29e-6db3-4311-97b0-3c9c43be2e7c,101919705,2021-11-25 10:07:52-08:00,2021-11-25,-121.9323416667,45.2814366667,801.0,,6.1,13.9,,8.8,,1025.8,Tricholoma terreum,"Mount Hood National Forest, Welches, OR, US",1,
e30865c6-8367-4766-beec-37f6400decb4,190651045,2023-11-09 13:01:42-08:00,2023-11-09,-122.3831401513,45.633745605,124.0,,5.6,11.1,,16.9,,1021.2,Tricholoma terreum,United States,1,84QVJJM8+
50b199d8-f330-46b5-b279-bf29c1f92a2a,102203889,2021-11-28 11:28:00-08:00,2021-11-28,-122.5412039357,45.8174295128,52.0,,11.1,16.1,,7.3,,1022.0,Tricholoma terreum,"Clark County, WA, USA",1,84QVRF85+
48f9a4d6-769b-4e9c-8b33-53d11af2a785,65442162,2020-11-22 16:09:05-08:00,2020-11-22,-122.706829088,45.2965046128,21.0,,2.2,5.0,2.7,3.6,,1018.3,Tricholoma terreum,"Willamette River, Canby, OR, US",1,84QV77WV+
24261e87-2d8f-4091-89fb-98de00291027,37662766,2020-01-16 11:08:13-08:00,2020-01-16,-122.6352412532,45.5343745771,44.0,,0.0,6.1,6.6,11.2,,1006.7,Tricholoma terreum,"NE Weidler St, Portland, OR, US",1,84QVG9M7+
88f0ebde-49c8-4f4d-a031-531980f2b7a2,17446003,2018-10-12 10:33:51-07:00,2018-10-12,-122.6241982543,44.6630283818,723.0,,3.9,22.8,0.0,5.8,,1018.2,Tricholoma terreum,"Camp Morrison Rd, Scio, OR, US",1,84PVM97G+
