uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
fed811fd-698b-47d8-9798-7ff4526f154a,388773076,2026-08-02 09:32:15-06:00,2026-08-02,-110.1670666667,40.7911666667,3257.0,,,,,,,,Tricholomopsis rutilans,"Duchesne County, UT, USA",2
c4ffb162-fe07-4e57-b5f1-f2e0322472a2,387379119,2026-08-01 14:05:10-06:00,2026-08-01,-105.6883916667,36.0540583333,2676.0,,14.5,29.6,2.4,11.8,,1019.3,Tricholomopsis rutilans,"Forest Service Road 207, Cordova, NM, US",1
a54fe1f6-d849-4e69-92a6-1130110c0e5c,334382474,2025-07-27 17:20:12-06:00,2025-07-27,-104.6507,39.0282805556,2320.0,,14.2,33.6,0.0,12.6,,1025.6,Tricholomopsis rutilans,"Colorado Springs, CO 80908, USA",1
71f362f4-7be3-4618-b5d4-7e59e48f536c,315236545,2018-07-20 12:00:46-06:00,2018-07-20,-105.9381945804,35.6894133129,2133.0,,16.7,35.0,0.0,11.1,,1011.2,Tricholomopsis rutilans,"Santa Fe, NM 87501, USA",1
078e1856-14a1-4f44-8e49-7bc130321829,307374571,2025-08-17 11:37:19-06:00,2025-08-17,-106.3909165997,36.0255853,3182.0,,16.7,28.0,0.0,6.7,,1025.3,Tricholomopsis rutilans,"Rio Arriba County, NM, USA",2
324fdb84-e6ab-4866-ab82-0d68ef6c9ec0,305813063,2025-08-08 14:20:00-06:00,2025-08-08,-105.11175,39.1568722222,2323.0,,14.1,35.1,0.0,17.7,,1008.3,Tricholomopsis rutilans,"Douglas County, CO, USA",2
a7166e35-0745-48f1-8c3f-ac70d28a4612,304100878,2025-07-27 17:20:12-06:00,2025-07-27,-104.6507,39.0282805556,2320.0,,14.2,33.6,0.0,12.6,,1025.6,Tricholomopsis rutilans,"Colorado Springs, CO 80908, USA",1
0faca98c-51b5-45ae-89aa-6a96c56d33b4,301669082,2025-07-26 11:25:25-06:00,2025-07-26,-105.5288662077,40.0622578011,2909.0,,16.0,32.0,0.0,5.4,,1017.8,Tricholomopsis rutilans,"Colorado, US",2
e6e6b490-3ba7-4b4d-a056-2b3d38ff2dbf,300047454,2025-07-15 10:18:19-06:00,2025-07-15,-105.3370443997,39.3418309997,2242.0,,11.0,20.0,2.2,7.0,,1015.1,Tricholomopsis rutilans,"Pine, CO 80470, USA",1
858906f3-316d-429e-9d54-3cd94276cfcf,254785996,2022-08-08 15:35:00-06:00,2022-08-08,-104.7462613635,39.0464600383,2252.0,,12.8,25.3,1.3,11.9,,1018.7,Tricholomopsis rutilans,"Colorado, US",1
e4b38f90-85fc-4edd-9bc2-b5ec01b43206,244427493,2024-09-10 09:52:51-06:00,2024-09-10,-107.322191,40.050139,2659.0,,6.1,26.1,0.0,9.1,,1015.6,Tricholomopsis rutilans,"Rio Blanco County, US-CO, US",1
b2a6ba32-7a14-42a8-b3ee-d0b2f01b4428,240832031,2024-09-08 12:58:00-06:00,2024-09-08,-105.4983408004,39.6904405532,3162.0,,-1.0,12.6,2.8,9.4,,1022.4,Tricholomopsis rutilans,"Idaho Springs, CO 80452, USA",2
cb5f3382-729a-4ff1-bab0-51322d19ac84,233342610,2024-07-31 11:35:00-06:00,2024-07-31,-105.8048835347,35.7952577552,3124.0,,15.0,36.7,0.0,11.1,,1009.7,Tricholomopsis rutilans,"Sangre de Christo Mountains, NM, USA",1
3defee66-36ff-4fc2-bcf1-c5875000cd6e,231788183,2024-07-25 14:49:49-06:00,2024-07-25,-106.6451009157,35.9824116837,2684.0,,16.3,28.3,1.0,8.0,,1030.9,Tricholomopsis rutilans,"Sandoval County, US-NM, US",1
a265d94f-56ee-459b-ab64-51ce350c4d4c,230297034,2024-07-18 18:30:44-06:00,2024-07-18,-105.5892639735,40.0347544915,3201.0,,6.3,22.0,0.2,7.7,,1032.9,Tricholomopsis rutilans,"Colorado, US",1
37a09817-c5ec-4af1-900b-9de7aaf7d6c0,222121582,2023-07-25 13:28:37-06:00,2023-07-25,-105.441545,40.1245611667,2561.0,,19.0,35.0,0.2,9.0,,1021.8,Tricholomopsis rutilans,"Ceran Saint Vrain Trail, Ward, CO, US",1
eaf36af9-b012-4329-acb2-974cc28d70e8,181857925,2023-09-03 18:08:54-06:00,2023-09-03,-105.1297529787,40.5440097175,1562.0,,17.2,32.2,,8.7,,1011.6,Tricholomopsis rutilans,"Fort Collins, CO 80526, USA",1
39d81346-b18c-434c-8934-83b453bd72dd,179483740,2023-08-20 19:43:31-06:00,2023-08-20,-105.3870083333,39.5666466667,2612.0,,1.9,18.0,0.0,15.3,,1021.6,Tricholomopsis rutilans,"Cub Creek, Evergreen, CO, US",1
1cc71465-0a75-4bc5-92c5-0c53d1f94191,178285844,2023-08-13 12:00:00-06:00,2023-08-13,-105.5737370646,40.036843418,3176.0,,16.0,25.0,0.0,9.6,,1024.8,Tricholomopsis rutilans,"Colorado, US",1
3de502d8-8645-4764-8b68-c0fdea725d85,178026749,2023-08-11 13:20:22-06:00,2023-08-11,-105.850425,40.4210783333,2797.0,,5.3,23.2,3.2,5.4,,1028.0,Tricholomopsis rutilans,"Rocky Mountain National Park, Granby, CO, US",2
062834b6-a525-46c0-b1a3-dbd5553cd928,175857152,2023-07-30 09:04:01-06:00,2023-07-30,-105.3586178273,39.5791860874,2441.0,,15.5,33.0,0.1,9.9,,1024.1,Tricholomopsis rutilans,Maxwell Falls Lower Trail,1
be20dea7-e26a-4841-88a9-eb4db2883a7d,174939091,2023-07-24 16:34:55-06:00,2023-07-24,-105.4596439108,39.6252100341,2497.0,,5.1,18.3,1.7,11.4,,1023.5,Tricholomopsis rutilans,"Colorado, US",1
f7ab9c24-e82c-47e2-b9c4-185f00d6df32,172375087,2023-07-09 10:35:22-06:00,2023-07-09,-105.5319404976,40.180469105,2749.0,,13.0,27.0,0.2,4.3,,1019.8,Tricholomopsis rutilans,"Colorado, US",1
8f805344-fa4b-47e2-85a2-857ee280eb6f,171499670,2023-07-06 17:29:50-06:00,2023-07-06,-105.3161166667,41.2429616667,2389.0,,8.5,20.9,2.1,18.7,,1015.2,Tricholomopsis rutilans,"Buford, WY, US",1
e4ba6418-d236-4689-b90f-acea99d78c94,168134420,2023-06-18,2023-06-18,-104.7912736237,39.0624106651,2250.0,,5.5,27.5,0.6,11.5,,1009.1,Tricholomopsis rutilans,Fox Run Regional Park,4
933f2bad-ee4a-4904-a443-4935ea4e6389,137831487,2021-07-06 10:50:36-06:00,2021-07-06,-104.7877160087,39.0601593083,2226.0,,14.7,25.6,,18.1,,1016.3,Tricholomopsis rutilans,"Colorado Springs, CO 80921, USA",1
361a6f4a-2207-44d5-890a-bbad86d58809,136286307,2022-07-29 11:19:00-06:00,2022-07-29,-105.8972316192,40.7499003106,2717.0,,10.0,24.6,0.0,6.8,,1018.4,Tricholomopsis rutilans,"Larimer County, US-CO, US",2
0454c16e-7c1f-4516-adbe-942c02e52115,133550389,2022-09-03 18:23:36-06:00,2022-09-03,-105.7851361111,39.9520333333,2659.0,,1.6,15.5,4.0,6.8,,1026.6,Tricholomopsis rutilans,"Winter Park, CO 80482, USA",1
c7835040-3f1d-45a1-930b-e1119077bc78,133031507,2022-08-30 18:48:39-06:00,2022-08-30,-105.6464916667,40.3132966667,2905.0,,5.1,27.0,0.0,3.6,,1033.5,Tricholomopsis rutilans,"Rocky Mountain National Park, Estes Park, CO, US",1
dfdb72d7-a0f0-431d-bcb8-0b710aaaf714,131621675,2022-08-20 09:56:18-06:00,2022-08-20,-105.6326555556,40.3323027778,2801.0,,6.6,22.2,6.7,5.3,,1027.6,Tricholomopsis rutilans,"Estes Park, CO 80517, USA",1
a7bfd34d-ab3a-4958-8f85-77eb26eb341b,124441644,2022-06-30 14:07:06-06:00,2022-06-30,-105.552616196,39.9894867412,2859.0,,1.3,10.8,3.9,9.3,,1023.0,Tricholomopsis rutilans,"Colorado, US",1
d3f67eb7-4e5e-46cb-a5a9-5b2d2f8f7cce,91710336,2021-08-18 15:36:52-05:00,2021-08-18,-105.6250594703,39.9866866265,3053.0,,6.6,25.5,0.0,6.1,,1022.8,Tricholomopsis rutilans,"Boulder County, US-CO, US",1
b9b26fa3-5ae3-4493-ab30-97eec54ff64b,69333682,2017-09-07 20:36:00-04:00,2017-09-07,-105.6029461466,40.3547203346,2454.0,,9.1,29.4,,1.8,,,Tricholomopsis rutilans,"Larimer County, CO, USA",1
4454ddf7-f9f1-470a-95dd-83eaae7d4a41,55198415,2020-08-02 11:17:05-06:00,2020-08-02,-105.3823548743,39.5673031966,2550.0,,,,,11.0,,,Tricholomopsis rutilans,"Jefferson County, US-CO, US",1
87b465e4-0688-46a9-b411-166ed8cf6443,53574391,2020-07-01 18:27:59-06:00,2020-07-01,-105.5098070447,39.6843083687,3226.0,,,,,13.3,,,Tricholomopsis rutilans,"Colorado, US",2
4d78d3b8-8c73-45bd-a815-463d9309f50b,40349148,2018-08-16,2018-08-16,-107.836,37.9421,2652.0,,11.0,23.0,,6.2,,,Tricholomopsis rutilans,"Telluride, Colorado, USA",1
bc52cacd-19b0-40f3-bd18-4e41f35f2d48,33027440,2019-09-19 13:15:01-06:00,2019-09-19,-103.5418519962,43.9441299455,1558.0,,8.9,25.0,0.0,8.3,,1010.2,Tricholomopsis rutilans,"Pennington County, US-SD, US",1
5da964f5-b2a7-497a-b419-e78cce12d8ce,30545174,2019-08-09 18:16:09-06:00,2019-08-09,-106.9554837048,40.8052291494,2464.0,,12.6,27.5,,9.0,,,Tricholomopsis rutilans,"Clark, CO 80428, USA",1
0126df6f-56f9-4332-95f8-f4aa9967ccfb,29472996,2019-07-22 14:16:16-06:00,2019-07-22,-106.8900787085,40.7880176816,2479.0,,11.1,30.6,,9.5,,,Tricholomopsis rutilans,Pearl Lake State Park ,1
0562e326-b0e0-4352-842c-c16fe0bc52d8,4117787,2016-08-25 12:37:00-07:00,2016-08-25,-105.17669,36.2895,2871.0,,5.3,18.8,,5.5,,,Tricholomopsis rutilans,"Colfax County, NM, USA",2
