uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
802baf0c-b573-4871-b86d-a464c2c5bd3a,385084721,2026-07-24 12:19:00-06:00,2026-07-24,-105.8172361015,35.6527491775,2750.0,,17.8,32.2,0.5,7.0,,,Tubaria furfuracea,"New Mexico, US",1,
4f842a63-612e-427f-b47e-050209fa260f,226295169,2024-06-30 10:44:42-06:00,2024-06-30,-105.8287812956,35.7514630523,2767.0,,16.7,29.4,,18.1,,1017.0,Tubaria furfuracea,"Santa Fe County, US-NM, US",1,
4c9dc7ba-843b-4eb7-9a30-618c9b21f6ec,176438142,2023-08-03 08:30:47-06:00,2023-08-03,-105.6286621094,41.3157310486,2188.0,,11.0,25.0,2.0,14.4,,1025.0,Tubaria furfuracea,Laramie,1,
42ef78b4-203e-4571-8d26-28fb01412529,88582805,2021-07-25 10:38:19-06:00,2021-07-25,-109.2301297945,41.6117829397,1919.0,,7.6,29.9,0.0,9.6,,1013.5,Tubaria furfuracea,"Elk St, Rock Springs, WY, US",1,
e02a7abc-e6a7-4958-9c86-933c3a869d0f,196283063,2024-01-08 15:43:30-08:00,2024-01-08,-121.5136416667,45.70427,134.0,,0.8,2.7,17.7,4.9,,1019.5,Tubaria furfuracea,"Columbia River Gorge National Scenic Area, Hood River, OR, US",1,
62dd11bf-0291-47a1-848d-27927ec43be5,143363168,2022-11-12 09:06:14-08:00,2022-11-12,-121.9539113,45.6303789997,81.0,,0.4,6.3,0.0,4.2,,1025.3,Tubaria furfuracea,"Cascade Locks, OR 97014, USA",1,
b860bd23-c8ed-4a8b-90f6-b316a6224334,343506578,2026-03-16 17:21:30-07:00,2026-03-16,-122.6783854142,45.5150549818,43.0,,8.0,20.0,0.0,6.1,,1021.5,Tubaria furfuracea,"SW Madison & 4th, Portland, OR 97204, USA",1,84QVG88C+
789b0241-5f52-4dd7-a6ed-76c0a7b580d7,342612656,2026-03-07 17:32:37-08:00,2026-03-07,-122.645605,45.5160833333,40.0,,9.0,16.0,0.0,6.9,,1027.3,Tubaria furfuracea,"Portland, OR, US",1,84QVG983+
8ea9762d-7e3f-4e78-abbd-42a07b98a1dd,342298099,2026-02-15 12:00:09-08:00,2026-02-15,-122.6492126194,45.5142753991,28.0,,5.0,9.4,0.8,5.0,,1014.4,Tubaria furfuracea,"SE Salmon St, Portland, OR, US",1,84QVG972+
6de37016-a6cd-4d14-9a57-860d49574a95,341816031,2026-03-07 12:12:39-08:00,2026-03-07,-122.7608082997,45.6477264,22.0,,10.0,17.0,0.0,5.8,,1027.8,Tubaria furfuracea,"St. Johns, Portland, OR, USA",1,84QVJ6XQ+
7dbd65a2-bfa4-4716-b80b-7995cc743ef4,339357557,2026-02-19 15:09:43-08:00,2026-02-19,-122.6954233347,45.5718218132,55.0,,-1.0,7.0,1.5,6.7,,1010.8,Tubaria furfuracea,"Oregon, US",1,84QVH8C3+
8a3e1f1d-da40-47d9-9cac-0a4c24f3f437,339338476,2026-02-19 12:44:33-08:00,2026-02-19,-122.6519372,45.4767326,30.0,,1.1,7.2,2.5,7.6,,1010.6,Tubaria furfuracea,"SE Milwaukie & Tolman, Portland, OR 97202, USA",1,84QVF8GX+
693cf7cc-07d3-4d44-a8ad-822afd2bbb66,339046239,2026-02-16 15:02:01-08:00,2026-02-16,-122.742614213,45.457409628,131.0,,2.8,6.7,0.3,11.9,,999.3,Tubaria furfuracea,"SW 62nd Dr, Portland, OR, US",1,84QVF744+
143362b3-f49a-40ca-91c8-0ecc3817765b,338333331,2026-02-12 09:01:56-08:00,2026-02-12,-122.757745944,45.6050789043,35.0,,1.9,13.3,,1.6,,,Tubaria furfuracea,"St. Johns, Portland, OR, USA",2,84QVJ64R+
9c4371f1-9879-456d-8af9-1a6d5b842efe,338333241,2026-02-12 17:02:47-08:00,2026-02-12,-122.7570266724,45.6033859253,41.0,,1.9,13.3,,1.6,,,Tubaria furfuracea,Portland,2,84QVJ63V+
5de8daa0-8fd4-49d2-b595-56c804c1bd6b,334877857,2026-01-03 10:36:43-08:00,2026-01-03,-122.8575166667,45.5084222222,59.0,,6.0,11.0,0.1,8.8,,998.6,Tubaria furfuracea,"Aloha, OR, USA",1,84QVG45R+
b979a3fd-507c-4dab-a66b-c2d6db982d9b,333206595,2026-01-02 14:11:48-08:00,2026-01-02,-122.8472824097,45.5013923645,72.0,,4.0,9.0,0.8,3.6,,1008.3,Tubaria furfuracea,Beaverton,1,84QVG523+
703bd5a6-308d-43c1-8602-9b1dcae10550,324951127,2025-11-04 15:51:53-08:00,2025-11-04,-122.8563948807,45.4120991657,67.0,,8.0,13.0,0.2,8.7,,1010.7,Tubaria furfuracea,"Oregon, US",1,84QVC46V+
8feeb9f2-5dd7-4632-92b2-dc53fd34ae55,265074445,2025-01-15 08:19:38-08:00,2025-01-15,-122.4184848997,45.4991085997,108.0,,1.1,7.8,0.0,15.5,,1028.1,Tubaria furfuracea,"City Central, Gresham, OR, USA",1,84QVFHXJ+
98ff69ec-5cbb-4546-b87c-27a81a92b351,265072687,2025-01-16 08:22:22-08:00,2025-01-16,-122.3972143,45.5156344,101.0,,0.0,4.4,0.0,5.2,,1025.1,Tubaria furfuracea,"Mt Hood Community College Main Stop, Gresham, OR 97030, USA",1,84QVGJ83+
70d67c40-8183-4e43-89d5-cc739ae64f33,265072613,2025-01-16 08:23:10-08:00,2025-01-16,-122.3970216,45.5157318997,101.0,,0.0,4.4,0.0,5.2,,1025.1,Tubaria furfuracea,"Northeast, Gresham, OR, USA",1,84QVGJ83+
8826ca37-dd4e-4e23-ac36-daaa74900bcc,261914850,2025-01-01 14:28:35-08:00,2025-01-01,-122.8358216667,45.537995,80.0,,6.1,13.3,2.6,2.6,,1016.7,Tubaria furfuracea,"NW Norwich St, Beaverton, OR, US",1,84QVG5Q7+
78c7ec99-806c-4d3e-9069-3be25e2ad7ee,261596278,2024-12-15 15:03:03-08:00,2024-12-15,-122.895155,45.254986,29.0,,5.0,8.9,,8.8,,1021.3,Tubaria furfuracea,"St Paul, OR 97137, USA",1,84QV7433+
4cf849c7-f509-4e72-8b50-46e700dbf78e,258903596,2025-01-18 14:37:06-08:00,2025-01-18,-122.6717966667,45.507055,1.0,,-1.0,10.6,0.0,6.5,,1031.4,Tubaria furfuracea,"South Waterfront Park, Portland, OR, US",1,84QVG84H+
d196c7b5-a0e1-46f2-865b-76223e8ad899,258716403,2025-01-16 17:04:51-08:00,2025-01-16,-122.6762466667,45.5114633333,30.0,,0.6,4.4,0.0,6.1,,1025.2,Tubaria furfuracea,"SW Naito Pkwy, Portland, OR, US",1,84QVG86F+
7a5b2480-2bbd-4329-b305-31e3981108e4,257620176,2023-12-27 12:27:03-08:00,2023-12-27,-122.7834905997,45.3790258,43.0,,5.0,9.4,,6.7,,1009.8,Tubaria furfuracea,"Tualatin, OR, USA",1,84QV96H8+
438accc0-2674-4675-8d41-a81831c381d6,256536750,2024-12-28 12:04:04-08:00,2024-12-28,-122.71466875,45.51199331,222.0,,8.9,12.8,1.5,14.4,,1010.8,Tubaria furfuracea,"Arlington Heights, Portland, OR, USA",1,84QVG76P+
b30ddc7a-33b8-4582-b872-8df1d7607a2d,256485247,2024-12-27 13:49:34-08:00,2024-12-27,-122.6802833333,45.5814633333,29.0,,6.7,11.7,,11.3,,1004.7,Tubaria furfuracea,"N Watts St, Portland, OR, US",1,84QVH8J9+
e35c0706-3600-4ea3-89dc-1e06ca4279b1,255835908,2024-12-21 16:29:44-08:00,2024-12-21,-122.3941032997,45.5133755,94.0,,8.3,13.3,,24.0,,1013.7,Tubaria furfuracea,"Northeast, Gresham, OR, USA",1,84QVGJ74+
b4a1c4bd-ae10-42af-a7f8-38e56034a2d8,255503033,2024-12-16 16:15:15-08:00,2024-12-16,-122.6420133333,45.4150583333,53.0,,6.1,8.3,8.4,20.5,,1013.5,Tubaria furfuracea,"SE Arista Dr, Portland, OR, US",1,84QVC985+
f01ab976-2822-4f7f-bae7-c86683bdac7b,254596404,2024-12-08 21:49:17-08:00,2024-12-08,-122.6041099824,45.4692874378,81.0,,7.2,10.0,1.8,8.6,,1026.8,Tubaria furfuracea,"SE Henderson St, Portland, OR, US",1,84QVF99W+
d459fdfd-b863-4ea1-896b-6bea5e898f43,254549935,2024-12-08 10:34:16-08:00,2024-12-08,-122.5872813408,45.564613677,26.0,,7.2,10.0,1.8,8.6,,1026.8,Tubaria furfuracea,"Cully Park, Portland, OR, US",1,84QVHC77+
9f25a83e-1e92-4f44-a444-7cb92415ff7d,253242880,2024-11-23 11:47:00-08:00,2024-11-23,-120.9165742153,45.6337750424,49.0,,3.9,10.6,0.1,6.5,,1007.9,Tubaria furfuracea,"Wasco County, OR, USA",1,84QXJ3MM+
f57d0fe4-f2b7-452a-81f4-338ad8070ff4,250701121,2024-10-26 16:17:28-07:00,2024-10-26,-122.3940898997,45.5135100997,94.0,,11.1,16.1,,21.2,,1014.6,Tubaria furfuracea,"Northeast, Gresham, OR, USA",1,84QVGJ74+
dccdef41-046c-48ab-b515-9caed240dbb1,250652965,2024-11-05 15:55:13-08:00,2024-11-05,-122.3980114997,45.5180977997,101.0,,5.6,11.7,,4.9,,1027.6,Tubaria furfuracea,"NE Kane & SE Stark, Gresham, OR 97030, USA",1,84QVGJ92+
833d5cdb-25e7-4e32-8c9a-3752942c9ecc,248694800,2024-10-22 15:47:49-07:00,2024-10-22,-122.660295,45.5952333333,8.0,,5.0,16.1,0.0,4.3,,1025.8,Tubaria furfuracea,"Columbia Children's Arboretum, Portland, OR, US",1,84QVH8WQ+
c5534a2f-c88e-417b-a453-69d801252bac,207605415,2024-04-16 09:59:18-07:00,2024-04-16,-122.684625,45.473975,142.0,,6.7,13.9,0.0,11.9,,1028.5,Tubaria furfuracea,"SW Terwilliger Blvd, Portland, OR, US",1,84QVF8F8+
d9668a78-38ca-4542-8466-062ea89c8f71,206436244,2024-04-09 16:53:06-07:00,2024-04-09,-123.0179971667,45.0298111667,59.0,,7.2,16.7,0.8,11.2,,1025.1,Tubaria furfuracea,"Bair Park, Keizer, OR, US",1,84QR2XHJ+
c43ef7c8-a7c7-45ec-a9bf-2468e2029107,199077446,2024-01-31 10:56:00-08:00,2024-01-31,-122.6568972222,45.5739611111,38.0,,7.2,10.6,0.3,18.0,,998.3,Tubaria furfuracea,"Northeast Portland, Portland, OR, USA",1,84QVH8FV+
b0810bff-6cac-4f61-a785-b9ea2ea8682d,196825845,2024-01-12,2024-01-12,-122.4969139529,45.4887925735,159.0,,-6.1,5.6,,19.1,,1019.4,Tubaria furfuracea,"Pleasant Valley, Portland, OR, USA",1,84QVFGQ3+
