uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
7679dd1e-ddfc-4655-9106-0bcbf0408d44,392430044,2026-08-16 10:01:50-07:00,2026-08-16,-122.0584277778,45.3020722222,84QV8W2R+,1125.0,,16.7,27.2,0.0,3.4,,,Turbinellus floccosus,"Sandy, OR 97055, USA",1
8a987776-f37e-4ae4-afe7-c3482a109c18,384612741,2013-10-11 11:38:00-07:00,2013-10-11,-122.0977445493,45.5297496483,84QVGWH2+,1125.0,,9.4,14.4,0.0,0.7,,1019.7,Turbinellus floccosus,"Multnomah County, OR, USA",1
74935de2-4a26-4beb-8e5e-d8bf8b0d885e,342262387,2024-10-01,2024-10-01,-121.5932146087,45.2626995121,84QW7C74+,1686.0,,7.7,25.6,0.0,9.5,,1021.4,Turbinellus floccosus,"MT HOOD PRKDL, OR 97041, USA",1
e7315143-aa63-48af-81bc-44d6f3c8fc76,334575619,2021-10-21 14:25:00-07:00,2021-10-21,-121.7716611111,45.4383111111,84QWC6QH+,838.0,,,,,,,,Turbinellus floccosus,"Hood River County, OR, USA",3
cd92145c-4c03-4d3c-ad0b-c5a01895986b,332670255,2025-09-29 14:29:13-07:00,2025-09-29,-122.1191333333,45.5405716667,84QVGVRJ+,782.0,,13.0,18.0,0.6,2.9,,1010.2,Turbinellus floccosus,"Zigzag Ranger Station, Corbett, OR, US",2
71745d46-690d-4c87-9a7b-2064a1e60080,330634290,2025-12-13 10:58:30-08:00,2025-12-13,-122.1219028333,45.23028,84QV6VJH+,947.0,,6.0,13.0,0.0,4.5,,1017.0,Turbinellus floccosus,"Mt. Hood National Forest, Government Camp, OR, US",1
d2c05a96-a261-41bf-9aa1-1696b6c06bec,328544960,2025-11-27 12:16:53-08:00,2025-11-27,-121.7232606289,45.2920893895,84QW77RG+,1263.0,,5.0,7.0,4.3,1.2,,1020.5,Turbinellus floccosus,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1
af0bbc5a-2102-45a9-9720-e3d7ca225e11,328291034,2025-11-25 13:17:33-08:00,2025-11-25,-122.3773423097,45.3357665243,84QV8JPF+,111.0,,4.0,9.0,0.2,15.5,,1024.7,Turbinellus floccosus,"Eagle Creek, OR, US",1
1dc4f6f2-a390-4965-8519-443904ec645d,328280486,2025-11-25 17:11:00-08:00,2025-11-25,-122.0559521506,44.6013351925,84PVJW2V+,1308.0,,,,,,,,Turbinellus floccosus,"Idanha, OR, US",1
d6acff45-5ff5-4acb-827d-6f81ec67632d,328280101,2025-11-25 17:08:00-08:00,2025-11-25,-122.0735072882,44.5953865127,84PVHWWG+,1120.0,,,,,,,,Turbinellus floccosus,"Idanha, OR, US",1
5c333964-af77-48e9-bfed-b6a98184bea1,327380853,2025-11-19 15:02:19-08:00,2025-11-19,-122.0471775997,45.2416388997,84QV6XR3+,1314.0,,2.0,12.0,0.0,22.0,,1014.2,Turbinellus floccosus,"Estacada, OR 97023, USA",1
d683cf6e-4eb0-4f43-a51f-47ad02568dec,327072421,2025-10-10 16:54:14-07:00,2025-10-10,-121.5876166667,45.3267133333,84QW8CG6+,1200.0,,8.0,15.0,0.5,1.9,,,Turbinellus floccosus,"Mount Hood Parkdale, OR, US",1
690dfeba-fb6c-44f5-b96e-d1a93c572148,326560493,2025-11-10 09:14:16-08:00,2025-11-10,-121.5716866667,45.3832966667,84QW9CMH+,1027.0,,1.0,12.0,0.0,0.8,,1024.2,Turbinellus floccosus,"East Fork Trail, Mount Hood Parkdale, OR, US",1
30144f67-a722-45b8-adbe-c3bccef3fee3,326401533,2025-11-11 15:22:22-08:00,2025-11-11,-122.1937716667,44.6951533333,84PVMRW4+,532.0,,,,,,,,Turbinellus floccosus,"Blowout Rd, Idanha, OR, US",1
d679595c-8d88-4610-8c4c-5fb6d1f6a6df,326255442,2025-11-08 13:46:12-08:00,2025-11-08,-122.1143442878,45.5384072139,84QVGVQP+,847.0,,4.0,14.3,0.0,25.5,,1020.7,Turbinellus floccosus,"Multnomah County, US-OR, US",1
79aa227d-2d98-472b-bac4-38f8c6fb6ef1,325814169,2025-11-09 14:23:15-08:00,2025-11-09,-121.7418133333,45.2698583333,84QW7795+,1127.0,,2.0,12.0,0.0,1.3,,1027.7,Turbinellus floccosus,"Trillium Lake Loop, Government Camp, OR, US",1
aa3f1a76-fac5-4698-958e-26dcd414f826,325809220,2025-11-09 11:01:42-08:00,2025-11-09,-122.0788388889,45.3108166667,84QV8W6C+,958.0,,11.0,14.6,0.0,31.5,,1022.2,Turbinellus floccosus,"Sandy, OR 97055, USA",1
357012df-258b-4521-be94-145c3a486665,325774323,2025-11-09 14:59:16-08:00,2025-11-09,-122.2564883154,45.1676622143,84QV5P9V+,865.0,,4.0,16.0,0.0,0.2,,1022.5,Turbinellus floccosus,"Mt. Hood National Forest, Colton, OR, US",1
25aecfa4-7232-4845-8b2a-86b7861f1fa0,325068445,2025-11-02 13:45:18-08:00,2025-11-02,-121.7993866667,45.3602616667,84QW9662+,985.0,,5.0,14.0,0.2,1.8,,1026.6,Turbinellus floccosus,"Burnt Lake North, Rhododendron, OR, US",1
57c16835-81ad-4a99-ac4e-8a67d97dc731,324978059,2025-11-02 13:54:33-08:00,2025-11-02,-121.7954416667,45.3579533333,84QW9653+,1019.0,,5.0,14.0,0.2,1.8,,1026.6,Turbinellus floccosus,"Burnt Lake North, Rhododendron, OR, US",1
de47a079-4de4-4e46-807e-7b806c0441a4,324964445,2025-11-02 12:41:33-08:00,2025-11-02,-121.9003194444,45.6621138889,84QWM36X+,19.0,,5.0,14.0,0.2,1.8,,1026.6,Turbinellus floccosus,"Bridge of the Gods, Cascade Locks, OR 97014, USA",1
5be7b7c8-4e9b-4801-b24e-29349ddf4f4a,324744432,2025-11-02 14:43:16-08:00,2025-11-02,-122.0795277778,45.5468361111,84QVGWWC+,886.0,,6.0,15.0,3.3,4.1,,1026.0,Turbinellus floccosus,"Cascade Locks, OR 97014, USA",1
fc6d2321-0d72-43bc-9c12-a2351983987a,324600632,2025-11-02 14:17:12-08:00,2025-11-02,-122.078338623,45.5287590027,84QVGWHC+,1119.0,,6.0,15.0,3.3,4.1,,1026.0,Turbinellus floccosus,"Multnomah County, US-OR, US",1
d2766582-bb72-445f-9694-144d19cf93de,324101087,2025-10-26 16:59:10-07:00,2025-10-26,-122.0443805,45.3713583333,84QV9XC4+,416.0,,4.0,11.0,4.2,6.5,,1014.6,Turbinellus floccosus,"Sandy, OR, US",1
51c6cc90-34f7-400f-9cd5-dc5aca8f18d4,324028698,2025-10-29 16:53:40-07:00,2025-10-29,-122.1170278333,45.5405416667,84QVGVRM+,800.0,,6.0,16.0,0.7,2.8,,1029.0,Turbinellus floccosus,"Zigzag Ranger Station, Corbett, OR, US",1
eaf3e424-c2e2-4d49-9284-a267bf36f81b,323954359,2025-10-29 12:55:15-07:00,2025-10-29,-121.5039151534,45.485159751,84QWFFPW+,1257.0,,3.0,15.0,0.0,2.0,,1028.5,Turbinellus floccosus,"Mt Hood, OR 97041, USA",1
e95ba8ae-81bf-408e-9809-4c6d7d15d6d5,323388540,2025-10-23 12:15:55-07:00,2025-10-23,-121.77138,45.1135388333,84QW467H+,1020.0,,,,,,,,Turbinellus floccosus,"Zigzag Ranger Station, Estacada, OR, US",1
0e2e22aa-3d58-4f4e-81e8-6ff96c3bb66e,323331524,2025-10-26 12:28:43-07:00,2025-10-26,-122.073075,45.3057616667,84QV8W4G+,995.0,,4.0,11.0,4.2,6.5,,1014.6,Turbinellus floccosus,"Zigzag Ranger Station, Sandy, OR, US",1
5d15d1a7-2257-4758-834c-f6f632b67da9,322311369,2025-10-21 11:46:27-07:00,2025-10-21,-121.752823,45.3021255,84QW862W+,1196.0,,3.0,17.0,0.0,0.4,,1021.3,Turbinellus floccosus,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1
ebe74d68-9084-4683-801e-038cc869bd39,321906938,2025-10-18 17:22:00-07:00,2025-10-18,-121.740355,45.2636866667,84QW7775+,1113.0,,2.0,17.0,0.0,1.5,,1018.8,Turbinellus floccosus,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1
7a5b10d3-be8e-4d90-925c-0da3d9b291b7,321906117,2025-10-17 15:10:27-07:00,2025-10-17,-122.125335,44.8232089722,84PVRVFF+,1171.0,,,,,,,,Turbinellus floccosus,"Marion County, US-OR, US",1
