uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
d62b0502-7d8c-4bd6-b7a8-cd4ec0552a8a,394104968,2026-08-21 09:30:57-07:00,2026-08-21,-121.8040603774,45.4450072842,84QWC5WW+,1173.0,,14.0,27.0,0.0,1.9,,,Turbinellus kauffmanii,"Oregon, US",1
c984b9aa-06a9-48ae-8bf0-9417fed6981d,392553111,2026-08-13 10:54:00-07:00,2026-08-13,-122.1212201843,45.3958890963,84QV9VWH+,296.0,,15.6,28.3,0.0,3.8,,,Turbinellus kauffmanii,"Clackamas County, US-OR, US",1
facc957c-3f5e-495f-b1e3-4e71ddb76010,392496800,2026-08-14 15:20:21-07:00,2026-08-14,-122.095422507,45.5993034895,84QVHWX3+,4.0,,17.0,26.7,0.0,2.3,,,Turbinellus kauffmanii,"Oregon, US",1
082c7772-91e2-478b-847a-927403d29756,392429913,2026-08-16 10:01:00-07:00,2026-08-16,-122.1636083749,45.2071588559,84QV6R4P+,716.0,,16.7,27.2,0.0,3.4,,,Turbinellus kauffmanii,"Oregon, US",1
8ed60fe4-1fcf-4301-90d4-1c54739a6760,387339447,2026-07-29 20:37:39-07:00,2026-07-29,-121.8122976597,45.4666837678,84QWF58Q+,995.0,,12.0,28.0,0.0,4.1,,,Turbinellus kauffmanii,"Oregon, US",1
5942282b-6a88-4880-a1ae-5fa3985ecd3c,327136002,2025-10-19 12:33:20-07:00,2025-10-19,-122.0723106329,45.2143903979,84QV6W7H+,1111.0,,10.0,17.0,0.5,13.6,,1017.5,Turbinellus kauffmanii,"Oregon, US",2
bd2dbb2d-c488-4b01-b95c-ff2848e1fcff,325719122,2025-11-08 11:27:36-08:00,2025-11-08,-121.8617705615,44.5431174804,84PWG4VQ+,1370.0,,,,,,,,Turbinellus kauffmanii,"Oregon, US",1
ca2c016b-a296-4b48-9371-aafb16beb969,317865276,2025-09-30 15:00:24-07:00,2025-09-30,-122.4092092704,45.203227374,84QV6H3R+,310.0,,9.0,21.0,1.2,8.8,,1008.8,Turbinellus kauffmanii,"Clackamas County, US-OR, US",1
cba0adae-13dc-4838-8553-355f49d710fe,317685226,2025-09-28 13:18:00-07:00,2025-09-28,-122.1050238387,45.353315018,84QV9V3V+,633.0,,8.0,24.0,0.0,5.9,,1009.5,Turbinellus kauffmanii,"Clackamas County, US-OR, US",2
bdc7fb1d-4911-498f-a234-d726fe80064d,315705716,2025-09-21 14:28:57-07:00,2025-09-21,-122.0767719265,45.5556055126,84QVHW4F+,844.0,,13.0,22.0,1.0,5.8,,1017.0,Turbinellus kauffmanii,"Oregon, US",1
