uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
4f70060c-2255-4591-9175-98685f75caa5,346731084,2026-03-27 21:51:32-06:00,2026-03-27,-104.8935782111,38.8196584931,2043.0,,1.6,9.0,0.0,18.0,,1032.9,Xerocomus subtomentosus,"Pike and San Isabel National Forests, Colorado Springs, CO, US",2
3049c4aa-147d-4704-a797-c7a01154cb2c,240548407,2024-09-07 11:21:57-06:00,2024-09-07,-107.8654633333,38.0508833333,2837.0,,10.0,21.0,0.6,7.7,,1034.1,Xerocomus subtomentosus,"Ouray County, US-CO, US",1
b5568323-bf52-4f31-88e3-a720e25a91e1,235786220,2024-08-12 14:30:00-06:00,2024-08-12,-106.8222988176,36.0555783036,2971.0,,,,,,,,Xerocomus subtomentosus,"Rio Arriba County, NM, USA",1
96a60cbe-2a81-4633-b187-36e28fdb7a8c,181487116,2023-09-02 13:17:57-06:00,2023-09-02,-105.5036945,39.96628895,2519.0,,20.0,33.0,0.0,7.7,,1021.0,Xerocomus subtomentosus,"Boulder Canyon Dr, Nederland, CO, US",1
bea9dcb8-d2b5-4e75-b4bb-a7cac0427df3,178774903,2023-08-14 21:44:37-06:00,2023-08-14,-105.0117504441,38.7346213164,2969.0,,13.0,22.0,0.6,13.5,,1031.9,Xerocomus subtomentosus,"Teller County, US-CO, US",3
cec00fd0-bf96-4b23-b1bb-f082e86c4a18,173838145,2023-07-19 10:05:24-06:00,2023-07-19,-105.4446057987,39.6870835081,2731.0,,2.9,13.7,11.5,11.7,,1025.8,Xerocomus subtomentosus,"Idaho Springs, CO, US",2
4f5e7fdf-ed0e-4963-8b36-22bc6093e604,145945295,2022-08-30 14:03:32-06:00,2022-08-30,-106.3595583333,39.25847,3014.0,,2.8,22.8,0.0,5.4,,1020.6,Xerocomus subtomentosus,"Pike and San Isabel National Forests, Leadville, CO, US",1
d09f4917-21f3-48ec-934b-d48356a2236e,135678677,2022-08-09 14:03:42-06:00,2022-08-09,-104.9588932431,38.7289154456,2953.0,,14.1,27.7,0.0,6.1,,1018.4,Xerocomus subtomentosus,"Penrose-Rosemont Reservoir, Divide, CO, US",3
83dd275c-2b24-4f34-8b7d-0e848bdde198,133132539,2022-08-31 10:42:43-06:00,2022-08-31,-105.5576718561,39.6959651568,2950.0,,1.3,13.3,0.3,7.4,,1025.0,Xerocomus subtomentosus,"Colorado, US",2
cb98dd17-f4d1-474e-a3fb-a77ed5b656e8,132063091,2022-08-23 09:45:09-06:00,2022-08-23,-105.567825,40.0098,3049.0,,-0.1,12.0,1.5,5.3,,1021.2,Xerocomus subtomentosus,"Arapaho & Roosevelt National Forests Pawnee National Grassland, Nederland, CO, US",1
746c4c93-6b90-427d-b62f-fe8b899fe1b8,131782129,2022-08-21 12:55:31-06:00,2022-08-21,-107.8099666667,37.933195,2747.0,,9.0,17.0,1.7,4.5,,1031.4,Xerocomus subtomentosus,"Grand Mesa Uncompahgre and Gunnison National Forests, Telluride, CO, US",3
78b243ef-112f-4c06-be0d-3125cc78fc62,131634235,2022-08-20 12:04:04-06:00,2022-08-20,-106.2402033333,38.8901583333,3135.0,,6.2,15.3,14.0,3.7,,1021.1,Xerocomus subtomentosus,"Harvard Lakes, Buena Vista, CO, US",1
693faae5-6227-4c65-95f9-a62c3456f765,130722059,2022-08-13 10:15:54-06:00,2022-08-13,-105.6529423575,40.3084898422,2979.0,,9.5,28.4,0.6,5.8,,1031.4,Xerocomus subtomentosus,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Larimer County, US-CO, US",1
f4ceb148-6f60-4341-a1c1-f62379747d4d,92988404,2021-08-27 08:53:08-04:00,2021-08-27,-105.578984,40.2749909722,3189.0,,4.7,26.7,0.0,8.9,,1025.5,Xerocomus subtomentosus,"Estes Park, CO 80517, USA",1
a424ec1d-354a-40e9-ac34-fc0ecef06277,90174401,2021-08-01 17:56:29-06:00,2021-08-01,-105.7098295414,40.818423616,2862.0,,,,,,,,Xerocomus subtomentosus,"Arapaho & Roosevelt National Forests Pawnee National Grassland, Red Feather Lakes, CO, US",1
4bb3c56a-8a89-4b95-bde8-338cb169d234,89975656,2021-08-04 14:37:31-10:00,2021-08-04,-105.4384936765,39.6698792569,2753.0,,16.0,28.0,0.0,8.8,,1024.1,Xerocomus subtomentosus,"Golden, CO 80439, USA",1
e0daff8a-f836-4847-b44b-c5bdf79f7649,89773203,2021-08-01 11:47:00-06:00,2021-08-01,-105.3826325849,39.5664128635,2575.0,,17.0,26.0,0.0,7.3,,1029.5,Xerocomus subtomentosus,"Jefferson County, US-CO, US",1
cf778e03-c64a-42c5-b738-79579e2dfc39,89271363,2021-07-30 14:50:17-06:00,2021-07-30,-105.2602857644,39.4561508352,2360.0,,18.3,32.2,,14.4,,1016.2,Xerocomus subtomentosus,"Colorado, US",1
44a90b70-f554-4c5c-8af6-78b06c87ed17,89018992,2021-07-27 11:52:37-06:00,2021-07-27,-108.2637305395,37.601183482,2846.0,,,,,,,,Xerocomus subtomentosus,"San Juan National Forest, Dolores, CO, US",1
2e64ae2b-0b18-42c2-9bd8-ef35ddca7858,88890414,2021-07-26 19:52:50-06:00,2021-07-26,-105.3871233981,39.4768941641,2583.0,,16.7,32.2,0.0,10.6,,1014.3,Xerocomus subtomentosus,"Colorado, US",1
0922b181-fc62-42a9-98d4-8376ace3b685,31941435,2019-08-29 19:18:20-06:00,2019-08-29,-106.1544028333,39.494495,3097.0,,12.0,16.0,,17.5,,,Xerocomus subtomentosus,"Copper Mountain, Frisco, CO, US",1
cfeec52b-dc12-4b89-9b2d-a34d090c9108,15282372,2018-08-08,2018-08-08,-105.2729603383,40.0505347307,1665.0,,15.0,28.0,,5.0,,,Xerocomus subtomentosus,"Colorado, US",2
