uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
89bf5ea2-8c00-44fb-a403-ab53addfa513,112776929,2022-04-24 12:18:05-07:00,2022-04-24,-122.2184333333,45.5366722222,84QVGQPJ+,163.0,,3.3,21.1,0.0,5.9,,1021.5,Xylaria polymorpha,"Corbett, OR 97019, USA",2
0ec3b7cf-b129-4197-9a26-2f10db6a4051,322646007,2025-06-10 14:28:12-06:00,2025-06-10,-105.149375,40.20298,85GP6V32+,1566.0,,9.7,34.0,0.1,5.8,,1018.3,Xylaria polymorpha,"Airport Rd, Longmont, CO, US",2
ea410a96-ca91-4526-b458-4fb0e2f34f0c,309339886,2025-08-26 07:48:37-06:00,2025-08-26,-104.9566333333,39.7276533333,85FQP2HV+,1639.0,,13.8,22.9,3.5,11.0,,1019.9,Xylaria polymorpha,"E Seventh Avenue Pkwy, Denver, CO, US",1
b21a9459-6b64-415d-8256-fbdb185a95d6,293486666,2025-06-27 11:28:06-06:00,2025-06-27,-104.9628722222,39.7322638889,85FQP2JP+,1646.0,,16.1,31.4,0.0,12.7,,1011.2,Xylaria polymorpha,"Cheesman Park, Denver, CO, USA",1
46ca4d5a-2b56-4fe0-9a7e-d75d7ad3f8b6,290307797,2025-06-14 18:58:34-06:00,2025-06-14,-105.2818833333,40.42027,85GPCPC9+,1748.0,,12.8,35.0,0.0,12.7,,1012.0,Xylaria polymorpha,"Big Thompson Canyon Rd, Loveland, CO, US",1
93bba0f2-b045-42b3-be44-7914cdc810fd,288624688,2025-06-10 19:00:04-06:00,2025-06-10,-105.2408203799,40.0192303115,85GP2Q95+,1602.0,,12.0,32.0,0.0,7.0,,1018.0,Xylaria polymorpha,"Walnut St, Boulder, CO, US",1
3c834c20-f0f8-42b8-a2f6-6d5c393b30d3,288235788,2025-06-08,2025-06-08,-104.9508519843,39.7495960907,85FQP2XX+,1610.0,,14.7,22.0,0.3,11.5,,1013.7,Xylaria polymorpha,"City Park, Denver, CO, USA",1
438012e3-5eb2-43a6-9bf6-f97699369a8c,287436634,2025-06-06 17:44:24-06:00,2025-06-06,-104.90657,39.7339166667,85FQP3MV+,1641.0,,10.6,18.5,4.0,11.6,,1015.1,Xylaria polymorpha,"Olive St, Denver, CO, US",1
1d560f5d-2da4-4c87-a304-090fefeea453,209416284,2024-04-25 18:32:32-06:00,2024-04-25,-104.962455,39.732545,85FQP2MQ+,1646.0,,10.1,23.0,0.0,14.6,,1002.9,Xylaria polymorpha,"Denver Botanic Gardens, Denver, CO, US",1
6138d4b0-9e46-4ea6-9407-a2156c6160c5,188563097,2023-09-21 11:32:30-06:00,2023-09-21,-104.962295,39.7319916667,85FQP2JQ+,1646.0,,12.8,24.9,0.0,9.9,,1009.5,Xylaria polymorpha,"Denver Botanic Gardens, Denver, CO, US",1
4f2a8fe5-50c3-4bee-bba9-1120a1fa3d99,187819240,2023-10-16 14:16:31-06:00,2023-10-16,-105.1845581457,39.8142385731,85FPRR78+,1721.0,,6.0,23.0,0.0,9.1,,1025.2,Xylaria polymorpha,"Colorado, US",1
4911ba72-e767-4185-b3e2-7f71811b2c6a,184046377,2023-09-16 14:22:37-06:00,2023-09-16,-104.9622416667,39.731955,85FQP2JQ+,1646.0,,9.2,22.8,0.0,7.1,,1021.0,Xylaria polymorpha,"Denver Botanic Gardens, Denver, CO, US",1
