uuid,timestamp,date,timezone,lon,lat,elevation,weather_station_id,tavg,tmin,tmax,precipitation,snow,windspeed,winddirection,presure,humidity,species,location,num_identification_agreements,ndvi,soil_moisture,prcp_d0,prcp_d1,prcp_d2,prcp_d3,prcp_d4,prcp_d5,prcp_d6,land_cover,land_cover_label,cluster
e5b3d238-eb46-48f2-892f-770f481a0c48,2024-06-28 17:31:52-06:00,2024-06-28,,-106.7493583333,37.3739133333,2775.0,,8.9,3.0,13.0,3.8,,18.1,233.0,1034.5,,Morchella tomentosa,"San Juan National Forest - Headquarters, Pagosa Springs, CO, US",2,,,0.0,0.0,0.0,0.0,14.348342,0.0,0.0,10,Tree cover,
847b78b9-5787-46ed-8e77-0f1a4f64cff3,2024-07-15 16:33:42-06:00,2024-07-15,,-108.1623897324,37.6178907297,3120.0,,19.0,15.0,24.0,1.0,,5.8,3.0,1033.9,,Morchella snyderi,"Colorado, US",1,,,4.221279,4.221279,8.442558,0.0,0.0,0.0,0.0,10,Tree cover,
bb410052-45cb-4052-a51c-10ac59a3c4ee,2024-05-05 12:56:55-06:00,2024-05-05,,-104.9442533333,40.4747916667,1462.0,,12.2,2.8,23.9,0.0,,14.0,2.0,1002.3,,Morchella americana,"Frank Swa, Windsor, CO, US",1,,0.2985265264555422,3.128395,0.0,0.0,0.0,0.0,0.0,0.0,30,Grassland,
e84d0bd2-78cf-460c-bc10-d58267ab6f14,2024-05-05 13:29:31-06:00,2024-05-05,,-104.94168,40.4718966667,1460.0,,12.2,2.8,23.9,0.0,,14.0,2.0,1002.3,,Morchella punctipes,"Windsor, CO, US",1,,0.2980350814045559,3.128395,0.0,0.0,0.0,0.0,0.0,0.0,10,Tree cover,
a2e6c1b8-6a97-4d1a-9866-5a10a708c8c6,2024-06-08 13:05:11-06:00,2024-06-08,,-105.495609,36.091889,2816.0,,17.1,4.1,26.8,0.1,,10.6,307.0,1024.6,,Morchella tridentina,"Taos County, US-NM, US",4,,,0.0,0.0,0.0,0.0,4.9085603,0.0,0.0,10,Tree cover,
18f646d6-c58c-4dca-bf9d-b4e97f6c51fc,2024-06-08 11:52:26-06:00,2024-06-08,,-105.5314570087,36.0197737997,3584.0,,17.1,4.1,26.8,0.1,,10.6,307.0,1024.6,,Morchella tridentina,"New Mexico, US",3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Tree cover,
a66963f1-0d8a-4cec-82c9-82d99c4287b9,2024-05-30 12:44:00-06:00,2024-05-30,,-106.6781473,39.502203,2763.0,,14.9,4.4,24.4,0.0,,12.3,335.0,1011.3,,Morchella snyderi,"Yeoman Park Campground, Basalt, CO 81621, USA",1,,,0.0,0.0,0.0,0.0,11.653097,0.0,0.0,10,Tree cover,
b8ba204f-08e3-4618-ae70-38d2d9caa3fe,2024-05-30 09:08:36-06:00,2024-05-30,,-104.99749053,37.96638146,2417.0,,18.8,12.0,27.0,0.1,,16.7,356.0,1009.8,,Morchella snyderi,"Beulah, CO 81023, USA",1,,,0.0,3.2626069,0.0,0.0,0.0,0.0,0.0,10,Tree cover,
bd4ea4aa-39c8-43ec-8443-c1943393894e,2024-05-28 10:06:28-06:00,2024-05-28,,-107.3630618047,40.9843615937,2128.0,,14.8,4.2,23.9,1.9,,8.2,23.0,1024.5,,Verpa bohemica,"Slater, CO, US",1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,Grassland,
a529ba82-b110-4123-b4b4-532a460508e2,2024-05-19 08:42:00-06:00,2024-05-19,,-105.8446168098,35.7489303335,2730.0,,20.4,12.8,27.8,0.0,,15.8,287.0,1007.7,,Morchella snyderi,"Santa Fe County, NM, USA",2,,,0.08156159,5.024001e-07,0.034615584,8.219007,0.0,0.0,0.0,10,Tree cover,
6adbcaf3-ce7f-4409-aa68-2ce22b46a105,2024-05-26 13:32:44-06:00,2024-05-26,,-105.0971852417,38.0038517346,3372.0,,17.5,9.8,24.7,0.0,,27.1,275.0,1008.2,,Morchella snyderi,"Colorado, US",2,,,0.0,0.0,0.0,0.0,0.0,0.0,2.2772201e-05,10,Tree cover,
dc26b712-7efb-4ba0-b908-7ab2258bba90,2024-05-19 14:03:36-06:00,2024-05-19,,-105.2552667968,38.6601615713,2347.0,,20.1,9.8,29.0,0.0,,15.1,278.0,1006.7,,Morchella snyderi,"Colorado, US",2,,,0.19704847,0.49729073,0.22359626,6.6122246,0.0,0.0,0.0,10,Tree cover,
0114ea8d-1172-4a52-900c-3cb68f3f2c1d,2024-05-11 16:15:31-06:00,2024-05-11,,-105.392333695,39.8111711203,2667.0,,11.3,4.0,17.0,1.1,,8.3,314.0,1016.8,,Morchella americana,"Colorado, US",2,,0.3825851227273295,0.0,0.0,0.0,0.0,0.0,0.0,5.9101396,10,Tree cover,
cec15c75-78c0-45a5-a1a0-112447bb37cb,2024-05-11 14:50:23-06:00,2024-05-11,,-105.3618407278,39.8520569888,2380.0,,11.3,4.0,17.0,1.1,,8.3,314.0,1016.8,,Morchella americana,"Colorado, US",2,,0.3785740463178836,0.0,0.0,0.0,0.0,0.0,0.0,5.256202,10,Tree cover,
1b4649fc-75d8-4e68-83dc-f525854ca5be,2022-07-08 13:13:00-06:00,2022-07-08,,-105.5718002616,39.5026327181,2991.0,,8.8,2.1,16.6,0.5,,8.2,260.0,1025.3,,Morchella snyderi,"Mount Evans Wilderness, Bailey, CO, US",1,,0.3998999652664746,0.0,0.0,0.0,0.0,0.0,17.258682,0.0,10,Tree cover,
