uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,ndvi,soil_moisture,prcp_d0,prcp_d1,prcp_d2,prcp_d3,prcp_d4,prcp_d5,prcp_d6,land_cover,land_cover_label,slope,aspect,solar_exposure,wind_exposure,water_retention,tmax_d0,tmin_d0,tmax_d1,tmin_d1,tmax_d2,tmin_d2,tmax_d3,tmin_d3,tmax_d4,tmin_d4,tmax_d5,tmin_d5,tmax_d6,tmin_d6
faee81d2-0dcd-4160-8851-83ec1be80864,382631209,2021-07-15 15:42:42-06:00,2021-07-15,-105.2003783333,36.4410083333,3001.0,,8.2,19.8,4.1,6.4,,1028.9,Boletus rubriceps,"Ute Park, NM, US",1,,,0.0,14.558251,0.0,7.2791257,0.0,0.0,7.2053447,10,Tree cover,,,,,,18.9,7.0,19.0,9.9,21.9,7.1,19.9,6.3,18.9,6.6,24.0,9.1,24.6,9.3
17fbef57-9f68-497c-b104-15f03375e4c0,390594586,2025-07-26 13:00:00-06:00,2025-07-26,-106.2554246626,39.7443201408,3246.0,,12.0,17.0,0.0,13.7,,1037.7,Boletus rubriceps,"Slate Creek Trail, Silverthorne, CO, US",1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Tree cover,,,,,,16.9,2.5,17.7,3.1,17.7,2.2,14.5,3.6,16.4,3.9,17.0,3.9,15.7,4.6
03b44392-b374-4df7-a189-c68a545c5086,380552794,2026-07-03 17:16:00-06:00,2026-07-03,-105.9903,40.50526,2798.0,,1.0,24.0,0.0,6.8,,,Boletus rubriceps,"G245+4V Gould, CO, USA",1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Tree cover,,,,,,21.2,5.2,21.7,5.8,19.9,2.7,20.7,4.0,21.0,1.6,21.0,6.3,20.9,9.5
fba67c9e-d077-4042-9791-251bf6199ebc,378555573,2026-07-05 12:13:37-06:00,2026-07-05,-106.3994487461,41.2365469221,2733.0,,8.0,31.0,0.0,4.9,,1014.6,Boletus rubriceps,"Wyoming, US",1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Tree cover,,,,,,23.1,9.8,20.4,6.0,19.0,4.8,19.8,5.9,17.0,3.4,18.4,2.4,15.8,-0.8
c2f81e1d-ece1-493a-898e-3e69dda5f1d3,381049594,2026-07-08 13:52:01-06:00,2026-07-08,-107.9536533333,39.0704471667,3130.0,,21.5,36.6,0.6,6.2,,,Boletus rubriceps,"Mesa County, US-CO, US",1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Tree cover,,,,,,21.7,9.4,21.7,10.5,22.6,9.3,22.9,9.1,20.6,8.5,19.9,6.4,18.8,4.6
59891eb4-885f-45d2-9a66-03d1b71d2014,380143296,2026-07-10 15:09:23-06:00,2026-07-10,-104.838301,38.856889,1862.0,,11.7,30.0,,7.8,,,Cerioporus squamosus,"Chestnut/Caramillo, Colorado Springs, CO 80907, USA",3,,,0.0,0.0,0.0,0.0,0.0,0.0,6.661235,10,Tree cover,,,,,,29.6,12.2,28.9,14.1,33.7,14.0,31.9,17.1,32.9,14.7,31.8,13.6,31.7,15.5
fa4518b5-dc3a-468c-9975-1973ac10c967,381582747,2026-07-13 17:03:22-06:00,2026-07-13,-105.7342383333,40.1661833333,3292.0,,9.0,31.6,0.0,2.8,,,Boletus rubriceps,"Watanga Lake Trail, Grand Lake, CO, US",1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,Grassland,,,,,,22.0,9.0,21.4,10.0,21.4,6.5,18.2,4.5,17.4,5.6,18.9,5.4,20.0,8.1
3d2be1f4-1c43-4cd8-ae6d-28757fe4673a,382141637,2026-07-15 12:16:04-06:00,2026-07-15,-104.9674916667,39.6261633333,1664.0,,18.3,32.8,0.0,11.0,,1013.4,Cerioporus squamosus,"Summit Blvd, Cherry Hills Village, CO, US",1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Tree cover,,,,,,34.8,18.1,35.9,18.0,37.1,18.6,36.1,16.9,35.8,15.8,32.8,14.0,32.5,16.4
65d417f3-646e-4967-9c86-3b217e7fcde3,382129982,2026-07-16 13:25:11-06:00,2026-07-16,-105.5904466667,40.0757638333,3224.0,,9.3,29.1,0.5,6.0,,1014.5,Boletus rubriceps,"Pawnee Pass Trail, Ward, CO, US",1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Tree cover,,,,,,18.7,8.2,19.6,9.7,20.3,11.0,21.7,10.4,21.1,11.2,21.3,6.8,18.5,5.2
0dc4fe88-d8ba-4d52-812b-5342962bef7e,383268719,2026-07-19 12:30:59-06:00,2026-07-19,-106.0567803437,41.5506563036,2309.0,,16.2,29.4,3.8,14.0,,1014.5,Boletus rubriceps,"Wyoming, US",1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,Grassland,,,,,,30.0,15.4,29.3,15.2,27.7,14.2,28.0,15.1,29.0,12.2,32.1,15.9,32.1,16.4
